index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
0	47 USC 157(a)	184	CORRECT			"47 U.S.C. 157 is real (""New technologies and services""); subsection (a) not carried but that is a normal partial parse, not a wrong identity."	https://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title47-section157&num=0&edition=prelim
1	42 USC 7384g	5	CORRECT				
2	49 USC 307	16	CORRECT				
3	PL 11-24, 123 Stat 1734	14	MISREAD_LAUNDERED	LOUD	A1-like (PL number digit dropped)	"Emitted public_law=""11-24""; govinfo PDF header of 123 Stat. 1734 reads ""PUBLIC LAW 111-24-MAY 22, 2009"" (Credit CARD Act of 2009), not ""PL 11-24"" (which would fall in the 11th Congress, 1809-1811, impossible against a 2009 Stat. volume). pl_congress_in_series=False."	https://www.govinfo.gov/content/pkg/STATUTE-123/pdf/STATUTE-123-Pg1734.pdf
4	42 U.S.C 2011 et seq.	2	CORRECT				
5	sec. 532 of Pub. L. 109-364	2	UNKNOWN	LOUD-if-wrong (cfr-note absent)	topic mismatch, unresolved	"PL 109-364 sec. 532 is titled ""REVISION AND CLARIFICATION OF REQUIREMENTS WITH RESPECT TO SURVEYS AND REPORTS CONCERNING SEXUAL HARASSMENT AND SEXUAL VIOLENCE AT THE SERVICE ACADEMIES"" (DoD service academies) per the govinfo PLAW text; RIN 1625-AC59 is Coast Guard (DHS), cfr_note_part 6 CFR 5 (DHS Privacy/records disclosure). The PL and section both exist and pl_congress_in_series=True, but I could not confirm the rule's actual topic without a source outside the allowed publisher list (reginfo.gov is not on the approved list) to know if this is genuinely the cited authority or a different sec. 532-shaped citation."	https://www.govinfo.gov/content/pkg/PLAW-109publ364/pdf/PLAW-109publ364.pdf
6	Public Law 111-216, 124 Stat. 2348 (49 U.S.C. 44701 note)	3	CORRECT				
7	15 USC 2607(c)	1	CORRECT				
8	26 USC 1.104-1(c)	1	MISREAD_LAUNDERED	SILENT	other (Treasury reg read as USC)	"Text ""26 USC 1.104-1(c)"" uses Treasury-regulation numbering (26 CFR 1.104-1(c), the injury-award exclusion regulation); 26 U.S.C. has no decimal-numbered sections. Parser emits usc_title=26, usc_section=""1"" (26 U.S.C. sec. 1, ""Tax imposed"" -- a real but unrelated section). usc_section_verdict=""exists"" and authority_in_own_cfr_note=""present"" (26 CFR 1) both read as healthy, which is exactly the false-positive the near-miss lever is prone to -- nothing here flags the mis-typing."	none (Treasury reg numbering is definitional; 26 U.S.C. 1 vs 26 CFR 1.104-1 confirmed by uscode.house.gov title/section format)
9	15 U.S.C. 636(j), 644(e)(4) and (q)	4	CORRECT				
