finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
R05-06-CL-CSV	05#1+06#4	spicy-regs	src/spicy_regs/sources/courtlistener_bulk.py; docs/evidence/court-data-coverage-2026-08-22.md	CourtListener CSV requires backslash escaping; the default parser silently desynchronized 1,987 of 3,000 sampled cluster rows.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the exact 3,000-row differential and pin the parser option before adoption.
R05-CL-RESUME	05#1	spicy-regs	src/spicy_regs/sources/courtlistener_bulk.py	Concatenated bzip2 dumps resume only at an exact compressed offset, and a resumed HTTP request must return 206 because accepting 200 can splice plausible garbage into the decompressor.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Compare clean and interrupted downloads across concatenated streams and prove 200-on-resume refusal.
R05-OLRC	05#2	spicy-regs	src/spicy_regs/sources/uscode_olrc.py	OLRC Popular Names recovery extracts Statutes at Large volume from statviewer queries, preserves cite, see, renamed, and short-title-ref roles, and refuses ambiguous year completion.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run role, statviewer-volume, unique-year, and ambiguous-name fixtures before adoption.
R05-USLM	05#3	spicy-regs	src/spicy_regs/sources/uscode_uslm.py	USLM credit parsing accepts enactment evidence only with explicit Added or as-added language, bounds Statutes at Large lookup at the next citation, and retains verbatim identifiers while normalizing en dashes.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run enactment-versus-amendment, adjacent-citation, and identifier round-trip fixtures before adoption.
R05-06-SCOTUS	05#4+06#6	spicy-regs	src/spicy_regs/sources/supreme_court_opinions.py; docs/evidence/court-data-coverage-2026-08-22.md	Supreme Court acquisition handles shared bound-volume PDFs and next-opinion page ranges, rejects wrong-term pages, and records upstream 404, throttling, and incomplete-capture observations.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Replay preserved term fixtures, prove term-date refusal and page ranges, and refresh upstream availability separately.
R05-BILL-ACQ	05#5	spicy-regs	src/spicy_regs/sources/bill_subjects.py	Bill-subject acquisition rejects partial pagination, distinguishes definitive 404, held-but-unassigned, and transport failure, prefers the first non-empty policyArea, and does not invent a legislative-subject hierarchy.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run later-page failure, outcome-state, repeated-policyArea, and sibling-subject fixtures.
R06-BILL-STATE	06#12	spicy-regs	docs/tables/bill_subjects.md	Bill enrichment is resumable one bill at a time; a stored null means asked with no assigned subject, absence means acquisition failure, and prior rows merge without reinterpretation.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Pin null-versus-absent and interrupted-resume merge tests before adopting the state model.
R05-AGENCY-XWALK	05#6	spicy-regs	tools/build_agency_crosswalk_artifact.py	Agency crosswalks reject docket-prefix inference, require source agency evidence, quarantine normalized-docket collisions, require minimum support, and prefer deeper sub-agencies within a 0.05 share tie.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run prefix-negative, collision, support-threshold, and sub-agency tie fixtures against any replacement.
R05-COMMENT-WINDOW	05#7	spicy-regs	src/spicy_regs/transforms/build_comment_periods.py	Comment periods merge adjacent intervals when the next opens no later than one day after close, and preserve docket identity when proceeding identity remains unresolved.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run adjacency-boundary and unresolved-proceeding fixtures before adoption.
R05-DATE-EVENT	05#7	spicy-regs	tools/build_date_event_artifact.py	Date events deduplicate by document, field, and date while unioning docket anchors; their 1994-2028 and five-year bounds are generalized policy rather than corpus-proven limits.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Test deduplication and anchor union independently, then review and approve bounds against a current corpus.
