candidate	version	release_date	evidence	primary_sources	atlas_relevant_finding
TopBraid SHACL API	1.5.0	2026-03-23	tested	https://github.com/TopQuadrant/shacl/releases/tag/v1.5.0 ; https://raw.githubusercontent.com/TopQuadrant/shacl/v1.5.0/pom.xml	Complete Atlas shapes finished at staging over memory and TDB2; bounded defects matched components; storage scaling failed to show a memory win.
Apache Jena SHACL	6.2.0	2026-07-27	tested here and prior full-scale spike	https://jena.apache.org/download/index.cgi ; https://github.com/apache/jena/releases/tag/jena-6.2.0	Bounded staging is fast; prior exact full-data shape combination exceeded 1829 seconds and was aborted.
Apache Jena SHACL	5.6.0	2025-10-10	tested engine-code overlay; exact distribution documented only	https://github.com/apache/jena/releases/tag/jena-5.6.0 ; https://archive.apache.org/dist/jena/binaries/apache-jena-5.6.0.tar.gz.sha512	Verified 5.6 Core source over 6.2 base showed no bounded pathology and no improvement; exact full trigger was outside bounds.
pySHACL	0.40.1 current; 0.31.0 Atlas	2026-07-28 current	tested Atlas baseline; current release documented	https://github.com/RDFLib/pySHACL/releases/tag/v0.40.1	Core coverage and verdict authority exist, but RDFLib Python-object storage is the measured wall.
Eclipse RDF4J	6.0.0	2026-08-10	documented; rejected	https://github.com/eclipse-rdf4j/rdf4j/releases/tag/6.0.0 ; https://rdf4j.org/documentation/programming/shacl/	NativeStore can validate on disk, but the supported list omits required xone, closed, and equals.
Oxigraph	0.5.9	2026-06-18	documented engine absence; prior adapter tested	https://github.com/oxigraph/oxigraph/releases/tag/v0.5.9 ; https://github.com/oxigraph/oxigraph	No native SHACL engine; prior oxrdflib adapter had decisive time and verdict failures.
rudof	0.3.8	2026-08-13	documented only	https://github.com/rudof-project/rudof/releases/tag/0.3.8 ; https://raw.githubusercontent.com/rudof-project/rudof/0.3.8/docs/src/cli_usage/backend.md ; https://raw.githubusercontent.com/rudof-project/rudof/0.3.8/docs/src/cli_usage/validate.md	Atlas Core constructs and N-Quads are represented; default eagerly loads oxrdf::Graph; QLever is a Docker-backed on-disk SPARQL option with no Atlas evidence.
shacl-rust	0.2.8	2026-07-23	documented only	https://docs.rs/crate/shacl-rust/0.2.8 ; https://github.com/ensaremirerol/shacl-rust	Atlas Core constructs are implemented; experimental integer-ID IndexedGraph is promising but has no Atlas run or persistent-store proof.
OxiRS SHACL	0.4.1	2026-07-28	documented only; confidence reduced	https://github.com/cool-japan/oxirs/releases/tag/v0.4.1 ; https://docs.rs/oxirs-shacl/0.4.1/oxirs_shacl/	Claims full Core and a Store interface, but CLI loading is materialized and the release says fabricated SHACL conformance results were removed.
goRDFlib	0.1.15	2026-08-05	documented only	https://github.com/tggo/goRDFlib/releases/tag/v0.1.15 ; https://github.com/tggo/goRDFlib/tree/v0.1.15	Claims 98/98 Core, Atlas constructs, N-Quads, and interchangeable memory/Badger/SQLite stores; active development, no Atlas-scale evidence, dependencies unavailable locally.
Trav-SHACL	1.9.0	2025-05-06	documented; rejected coverage	https://pypi.org/project/TravSHACL/ ; https://sdm-tib.github.io/Trav-SHACL/feature.html	Validates through SPARQL endpoints, but its documented subset explicitly omits sh:node, sh:datatype, sh:hasValue, and other Core constraints Atlas uses.
Corese	4.5.0	2023-12-14	documented; rejected pending evidence	https://github.com/Wimmics/corese/releases/tag/release-4.5.0 ; https://wimmics.github.io/corese/apis.html ; https://wimmics.github.io/corese/install.html	Documents SHACL plus Jena TDB and RDF4J adapters, but complete Atlas Core coverage and a native-store SHACL path are unproved; no Atlas measurements.
rdf-ext/shacl-engine	unreleased main	checked 2026-08-13	documented; rejected architecture	https://github.com/rdf-ext/shacl-engine	Core over RDF/JS DatasetCore; examples eagerly materialize RDF/JS quad objects, so it does not address the wall.
zazuko/rdf-validate-shacl	0.6.5	2025-05-30	documented; rejected architecture	https://github.com/zazuko/rdf-validate-shacl/releases/tag/v0.6.5	RDF/JS in-memory dataset path; no native-storage evidence.
dotNetRDF	3.5.2	2026-07-03	documented; rejected architecture	https://github.com/dotnetrdf/dotnetrdf/releases/tag/v3.5.2 ; https://dotnetrdf.org/api/html/M_VDS_RDF_Shacl_ShapesGraph_Validate.htm	Maintained SHACL API validates IGraph; persistent-store adapters do not give the validator a native-store data path.
