batch	index	text	verdict_2026-08-22	reason_2026-08-22	today_identity	today_signals	pair_class	why
B_1	13	Secretary's Orders 4-75 and 14-75	DROPPED	plural label lists in vain: Secretary's Order 14-75 dropped	two rows now emitted: citation_ordinal=0 admin_order_kind="Secretary's Order" admin_order_number="4-75"; citation_ordinal=1 admin_order_number="14-75" (both parse_status=partial)	both orders present, nothing dropped	FIXED	Report's own caveat table already named this fixed at commit e6514fa7 ("an order list is a list"); confirmed empirically in rebuild #11's artifact: 14-75 is no longer absorbed, it is ordinal 1 in its own right.
B_1	17	12 U.S.C. 1829(b)	MISREAD_LAUNDERED	12 U.S.C. 1829(b) -> section 1829; FinCEN BSA authority is 1829b	usc_title=12 usc_section="1829" parse_status=partial usc_section_verdict="exists" (true, 1829 is real); usc_section_corrected=NULL	authority_in_own_cfr_note="near-miss" against cfr_note_part="31 CFR 1010" (FinCEN's own BSA part) on 15 of 40 rows; the other 25 rows carry no cfr-note match at all	LOUD (partial)	Identity is unchanged and still names section 1829, not 1829b -- neither A4 nor B1 fires because this is the ambiguous direction the oracle module explicitly refuses to adjudicate (usc_section_oracle.py: "5 USC 552(a)" / "552a" both real, "refused rather than adjudicated"). But a new column now exists and does fire on the FinCEN-part rows: authority_in_own_cfr_note='near-miss' points straight at 31 CFR 1010, the exact part whose own authority note is one edit from what was filed. The signal is real but only covers a minority of this text's rows.
B_1	19	42 USC 629(b)	MISREAD_LAUNDERED	42 USC 629(b) -> section 629, which has only unlettered paragraphs; means 629b	usc_title=42 usc_section="629" parse_status=partial usc_section_verdict="exists"; usc_section_corrected=NULL	authority_in_own_cfr_note="near-miss" on ALL rows of this text (cfr_note_part="10 CFR 430", 2 rows; "45 CFR 95", 8 rows)	LOUD	Same refused-direction shape as 1829(b) -- no identity correction, verdict says 629 "exists" (true) and stops there. But every row of this text now carries authority_in_own_cfr_note='near-miss', a clean, universal, consumer-visible flag that something about this citation does not quite match the citing part's own authority note.
B_1	23	42 USC 7401/CAA 112	DROPPED	42 USC 7401/CAA 112: the act-section half of the value is discarded	only one citation_ordinal (0) emitted: usc_title=42 usc_section="7401"; act_key/act_section/act_resolution_evidence/act_resolution_reason all NULL	authority_in_own_cfr_note="present" for cfr_note_part 40 CFR 61 and 40 CFR 63 (RIN 2060-AF04/AF09), because 7401 genuinely is also a cited authority for those parts; nothing at all marks that a second citation (CAA 112 = 42 U.S.C. 7412) went missing	STILL_SILENT	The slash-separated act-name half is still discarded with zero trace, exactly as in 2026-08-22. Rebuild #11's act-resolution unit fixed a sibling shape ("/CAA 112 & 103" now yields two citations, per ledger) but this exact text's shape was not among the values it moved -- confirmed by re-querying: still one row, still nothing naming the CAA 112 half, not even a failed/candidate marker.
B_1	66	38 U.S.C. 7009	MISREAD_LAUNDERED	38 U.S.C. 7009 does not exist (title 38 ch.71 starts at 7101)	usc_title=38 usc_section="7009" parse_status=ok	usc_section_verdict="absent" usc_section_attested_at_edition=false; authority_in_own_cfr_note="absent" for cfr_note_part="38 CFR 3"	LOUD	The section-existence oracle (new since 2026-08-22, src/refspec/registry/usc_section_oracle.py) now judges every usc row, and it fires cleanly here: usc_section_verdict='absent' says outright that 7009 is not a section OLRC has ever printed. The identity itself is unchanged (still "7009"), but a consumer filtering on this new column stops trusting the row -- doubly corroborated by the CFR authority note also reading 'absent'.
B_1	68	12 U.S.C. 1701-1	MISREAD_LAUNDERED	12 U.S.C. 1701-1 does not exist; 12 U.S.C. 1701x-1 does	usc_title=12 usc_section="1701-1" parse_status=ok (no span expansion -- leaf "1" is one digit, below the two-digit abbreviated-span guard, so it stays an opaque token)	usc_section_verdict="absent" for both cfr_note_part groups (24 CFR 91, 24 CFR 570); authority_in_own_cfr_note="absent" for both too; usc_section_corrected=NULL	LOUD	Same fence as 7009: usc_section_verdict='absent' flags the row outright. No correction is published -- the missing "x" is not one of the named repair operators (B6's letter-o-for-zero rule is scoped only to the 15 U.S.C. 780-N family) -- but the identity is no longer silently trusted.
B_2	7	16 U.S.C. 472, 551, 620(f), 1133(c),&(d)(1), 1246(i)	MISREAD_GRAMMAR	16 U.S.C. ...620(f)...: 16 U.S.C. 620 has only (a),(b); means 620f	citation_ordinal=2: usc_title=16 usc_section="620" parse_status=partial usc_section_verdict="exists" (true, 620 is real); usc_section_corrected=NULL	NONE -- authority_in_own_cfr_note and cfr_note_part are NULL on every ordinal of every row of this text	STILL_SILENT	This is the same refused NNN(x) direction as 1829(b)/629(b), but this RIN's own CFR parts are not covered by the authority-note oracle at all (confirmed: all five ordinals, all rows, cfr-note columns entirely NULL), so even the partial signal those other two texts got is absent here. Nothing distinguishes this row from a correctly-read one.
B_2	23	42 U.S.C. 300	MISREAD_LAUNDERED	42 U.S.C. 300 bare, where the SDWA 300f et seq. is meant	usc_title=42 usc_section="300" parse_status=ok usc_section_verdict="exists" (true, 300 is real -- "family planning services"); usc_section_corrected=NULL	authority_in_own_cfr_note="near-miss" against cfr_note_part="40 CFR 141" (EPA's SDWA maximum-contaminant-level part, 4 rows) -- the exact SDWA-adjacent signature the 2026-08-22 reason names; a different, evidently unrelated RIN citing 21 CFR 600 (biologics) instead reads "absent" (2 rows); one row carries no note at all	LOUD (SDWA rows only)	No identity correction exists -- section 300 stays the produced value, and "exists" is literally true of it, so the fence that catches the absent-section cases (7009, 3080, 1701-1) cannot fire here. But the CFR-note signal is specific: on the row whose own cited part is EPA's SDWA rule (40 CFR 141), the authority note is 'near-miss' -- exactly the SDWA-meant-not-family-planning story the 2026-08-22 reviewer told. The unrelated RIN's rows behave differently and are not evidence either way for the flagged one.
B_2	38	38 USC 3080	MISREAD_LAUNDERED	38 USC 3080 does not exist (ch.30 ends at 3036)	usc_title=38 usc_section="3080" parse_status=ok	usc_section_verdict="absent"; authority_in_own_cfr_note="absent" for cfr_note_part="38 CFR 21"	LOUD	Same fence as 7009/1701-1: usc_section_verdict='absent' flags this outright, corroborated by the CFR authority note also reading absent.
B_2	51	21 USC 371a	MISREAD_LAUNDERED	21 USC 371a does not exist; means 21 U.S.C. 371(a)	usc_title=21 usc_section="371a"	usc_section_verdict="absent"; usc_section_corrected="371(a)" usc_section_correction_evidence="A4-subsection-rendered-as-a-lettered-section" usc_section_corrected_section="371" usc_section_corrected_pinpoint="(a)"; authority_in_own_cfr_note="near-miss" (21 CFR 200/310/4/201, most rows)	FIXED	This is the report's own class-A4 headline specimen (1,494/1,545 rows), and the correction is now published end to end: usc_section_corrected_section='371' matches the truth exactly and usc_section_corrected_pinpoint='(a)' carries the subsection. A consumer keyed on usc_section_corrected_section gets the right identity. (This text's (title, token) pair is not among the one A4 case the act-index fence strikes -- that is 7 U.S.C. 8a -- so the correction is not withheld here.)
