index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
0	16 USC 460(k), 664, 668(dd), 685, 690(d), 715(i), 725	1	MISREAD_GRAMMAR	LOUD	NNN(x) read as a subsection of NNN instead of the real lettered section NNNx (4 of 7 citations wrong: 460->460k, 668->668dd, 690->690d, 715->715i)	"eCFR 50 CFR 29 authority note: ""16 U.S.C. 460k, 664, 668dd, 685, 690d, 715i, 725, 3161"" -- matches all 7 numbers in the text but with letter suffixes, not parenthetical subsections. Cornell confirms 16 U.S.C. 460 (Natchez Trace Parkway, single undivided paragraph, no subsections), 668 (Bald/golden eagles, only subsections a-c, no (dd)), 690 (Bear River refuge establishment, no subsections at all), 715 (short-title section only, no subsections) -- none can carry (k)/(dd)/(d)/(i)."	ecfr.gov API title-50 part-29 <AUTH>; law.cornell.edu/uscode/text/16/460,668,690,715
1	42 USC 402	1	CORRECT	—	plain bare section, well-attested SSA benefits citation	42 U.S.C. 402 = Social Security old-age/survivors benefits section (SSA Act Sec. 202); usc_section_verdict=exists; RINs are all SSA (0960-*).	domain match + usc_section_verdict=exists (not re-fetched: canonical/undisputed statute)
2	EO 8284	1	MISREAD_LAUNDERED	SILENT	digit-transposed E.O. number; a real-but-unrelated E.O. read as the identity, no oracle exists for E.O. correctness so nothing on the row flags it	"archives.gov EO disposition table (1939): ""Executive Order 8284 -- Prescribing the Duties of the Librarian Emeritus of the Library of Congress"" (signed Nov 13 1939) vs ""Executive Order 8248 -- Establishing the Divisions of the Executive Office of the President and Defining Their Functions and Duties"" (signed Sept 8 1939). 8284 exists and is real, but has nothing to do with a governmentwide regulatory authority; 8248 (EOP reorganization) is the plausible general delegation authority a modern rule would cite."	archives.gov/federal-register/executive-orders/1939.html
3	49 U.S.C. 30166	1	CORRECT	—	plain bare section, NHTSA enforcement statute	"49 U.S.C. 30166 = NHTSA ""Inspections, investigations, and records""; usc_section_verdict=exists; RINs are NHTSA (2127-*); present in 9/13 sibling FMVSS part notes."	domain match + usc_section_verdict=exists + CFR-note corroboration
4	12 USC 2011	1	CORRECT	—	plain bare section, Farm Credit Administration organic statute	"12 U.S.C. 2011 = Farm Credit Act ""Establishment, charters, titles, branches""; RINs are FCA (3052-*); present in 3/6 sibling notes."	law.cornell.edu/uscode/text/12/2011 (title confirmed)
5	30 U.S.C. 185(s)	1	CORRECT	—	parenthetical subsection is real; matches its RIN's domain exactly	"30 U.S.C. 185(s) = ""Exports of Alaskan North Slope oil"" -- a real subsection of the Mineral Leasing Act pipeline right-of-way section, and precisely the export-licensing authority BIS (RINs 0694-*) would cite."	law.cornell.edu/uscode/text/30/185
6	21 USC 360b	1	CORRECT	—	plain bare section, iconic FDA citation	21 U.S.C. 360b = FFDCA Sec. 512, new animal drug approvals; RINs are FDA (0910-*); present in 21/24 sibling notes.	domain match + usc_section_verdict=exists (canonical/undisputed statute)
7	Railroad Safety Improvement Act of 2008	1	CORRECT	—	act-name corroboration succeeded, real Act, matches agency	Railroad Safety Improvement Act of 2008 resolved via corroboration_rule=agency-roster-word-prefix; RINs are FRA (2130-*), a real, on-point statute for that agency.	domain match; corroboration_rule recorded on the row
8	49 U.S.C. 5120(b)	1	CORRECT	—	parenthetical subsection is real	"49 U.S.C. 5120(b) = ""Consultation"" -- a real subsection of the hazmat international-uniformity section."	law.cornell.edu/uscode/text/49/5120
9	16 USC 773 et seq	1	CORRECT	—	bare section + et seq, section is the Act's own opening section	"16 U.S.C. 773 = ""Definitions"", the first section of the Northern Pacific Halibut Act subchapter -- the classic ""et seq"" anchor, not a NNN(x) shape."	law.cornell.edu/uscode/text/16/773
10	46 USC 10603	1	CORRECT	—	plain bare section, Coast Guard seaman statute	"46 U.S.C. 10603 = ""Seaman's duty to notify employer regarding illness, disability, and injury""; RINs are USCG (2115-*/1625-*)."	law.cornell.edu/uscode/text/46/10603
11	16 U.S.C. 472, 551, 620(f), 1133(c),&(d)(1), 1246(i)	1	MISREAD_GRAMMAR	SILENT	same NNN(x)-as-subsection error as item 0, isolated to one of five citations in the list (620(f)); the other four (472, 551, 1133(c)&(d)(1), 1246(i)) are genuinely real subsections	"Cornell 16/620 full text runs only through subsection (b) (Findings; Purposes) -- no (f) exists. Cornell 16/620f title: ""Regulations and review"" -- the real lettered section the agency meant. By contrast Cornell confirms 16 U.S.C. 1133 has subsections through (d) and 16 U.S.C. 1246 has subsections through (k), so ""1133(c),&(d)(1)"" and ""1246(i)"" are both real."	law.cornell.edu/uscode/text/16/620, /16/620f, /16/1133, /16/1246 -- no CFR-note sibling evidence exists for this single-RIN (0596-AD24) text, hence SILENT
12	49 U.S.C. 46306	1	CORRECT	—	plain bare section, FAA aviation statute	"49 U.S.C. 46306 = ""Registration violations involving aircraft not providing air transportation""; RINs are FAA (2120-*)."	law.cornell.edu/uscode/text/49/46306
13	21 USC 371a	1	MISREAD_LAUNDERED	LOUD	class A4 (subsection rendered as a lettered section): 21 U.S.C. 371a does not exist; the real target is 371(a), FD&C Act Sec. 701(a), FDA's general rulemaking authority -- but the artifact itself now carries the correction	Row's own evidence columns: usc_section_verdict='absent', usc_section_corrected='371(a)', usc_section_correction_evidence='A4-subsection-rendered-as-a-lettered-section', usc_section_corrected_section='371', usc_section_corrected_pinpoint='(a)' -- a correction now sits beside the original identity on every one of the 1,494 rows.	artifact's own usc_section_verdict/usc_section_corrected columns (rebuild #11); cf. uscode.house.gov 404 for 371a (per prior 2026-08-22 campaign)
14	18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006 to 5024 (Repealed October 12, 1984, as to offenses committed)	1	CORRECT	—	era-correct: text names its own repeal, all sections real at filing date	"18 U.S.C. 3621/3622/3624/4001/4042/4081/4082/5006 all real (Bureau of Prisons statutes); the text's own parentheticals (""Repealed in part as to offenses committed on or after November 1, 1987"", ""Repealed October 12, 1984"") show the agency filing a historically accurate authority, not a misread."	usc_section_verdict=exists on all citation_ordinals; present in both sibling 28 CFR notes (542, 506)
15	47 USC 301	1	CORRECT	—	plain bare section, iconic Communications Act citation	"47 U.S.C. 301 = ""License for radio communication""; RINs are FCC (3060-*); present in 10/20 sibling notes."	law.cornell.edu/uscode/text/47/301
16	47 U.S.C. 336	1	CORRECT	—	plain bare section, Communications Act citation	"47 U.S.C. 336 = ""Broadcast spectrum flexibility""; RINs are FCC (3060-*)."	law.cornell.edu/uscode/text/47/336
17	41 U.S.C. 1303	1	CORRECT	—	plain bare section, overwhelming FAR-note corroboration	41 U.S.C. 1303 real (procurement policy); present in 51/53 sibling 48 CFR notes.	domain match + usc_section_verdict=exists + CFR-note corroboration
18	31 U.S.C. 9701	1	CORRECT	—	plain bare section, canonical user-fee statute	31 U.S.C. 9701 = general user-fee authority, cited governmentwide; present in 47/61 sibling notes.	domain match + usc_section_verdict=exists + CFR-note corroboration
19	50 USC app 2401 et seq	1	CORRECT	—	era-correct pre-2018 Export Administration Act citation, appendix flag correctly captured	50 U.S.C. App. 2401 et seq. was the standard EAA citation form before its 2018 recodification to 50 U.S.C. 4601; all editions here (199510-201410) predate that recodification. usc_appendix=True is captured correctly.	era check against known 2018 EAA recodification; original 2026-08-22 report's own confidence section names this pattern as a scoring rule (era-correct-but-stale = CORRECT)
20	5 USC 8347	1	CORRECT	—	plain bare section, CSRS statute	"5 U.S.C. 8347 = ""Administration; regulations"" for CSRS; RINs are OPM (3206-*)."	law.cornell.edu/uscode/text/5/8347 (title confirmed)
21	16 USC 1531 et seq	2	CORRECT	—	bare section + et seq, iconic ESA citation (rows=2)	16 U.S.C. 1531 et seq. = Endangered Species Act; no subsection/parenthetical to misread.	domain match + usc_section_verdict=exists (canonical/undisputed statute)
22	21 USC 353	1	CORRECT	—	plain bare section, FDA statute	"21 U.S.C. 353 = ""Exemptions and consideration for certain drugs, devices, and biological products""; RINs are FDA (0910-*); present in 19/19 sibling notes."	law.cornell.edu/uscode/text/21/353
23	20 USC 7701 to 7714	1	CORRECT	—	stated range, both endpoints real	"20 U.S.C. 7701 (""Purpose"") to 7714 (""Authorization of appropriations"") -- real bookend sections of the same subchapter."	law.cornell.edu/uscode/text/20/7701, /20/7714
24	15 U.S.C. 41 to 58	1	CORRECT	—	stated range, canonical FTC Act citation	"15 U.S.C. 41 (""FTC established"") to 58 (""Short title"") -- the standard FTC Act range."	law.cornell.edu/uscode/text/15/41, /15/58
25	26 USC 482	1	CORRECT	—	plain bare section, iconic transfer-pricing statute	"26 U.S.C. 482 = ""Allocation of income and deductions among taxpayers""; RINs are IRS (1545-*)."	domain match + usc_section_verdict=exists (canonical/undisputed statute)
26	EO 10577, 3 CFR, 1954-1958 Comp p 218	1	CORRECT	—	E.O. + compilation citation, page confirmed against the official disposition table	"E.O. 10577, ""Amending the Civil Service Rules and Authorizing a New Appointment System for the Competitive Service"", signed Nov 22 1954, 19 FR 7521 -- matches RIN 3206 (OPM/Civil Service) exactly."	archives.gov/federal-register/executive-orders/1954.html
27	49 U.S.C. 13301	1	CORRECT	—	plain bare section, STB statute	"49 U.S.C. 13301 = ""Powers""; RINs are STB/FMCSA (2140-*/2126-*)."	law.cornell.edu/uscode/text/49/13301
28	E.O. 12674, 54 FR 15159, 3 CFR 1989 Comp. p. 215, as modified by E.O. 12731, 55 FR 42547, 3 CFR 1990 Comp. p. 306	1	CORRECT	—	compound E.O.+FR+compilation citation, FR cite verified exactly against the official record	"E.O. 12731 ""Principles of ethical conduct for Government officers and employees"", signed Oct 17 1990: archives.gov gives ""Federal Register page and date: 55 FR 42547; October 19, 1990"" and ""Amends: EO 12674 (modifies in its entirety)"" -- both facts in the stated text (55 FR 42547; amends E.O. 12674) match exactly."	archives.gov/federal-register/executive-orders/1990.html
29	49 U.S.C. 46504	1	CORRECT	—	plain bare section, FAA statute	"49 U.S.C. 46504 = ""Interference with flight crew members and attendants""; RINs are FAA (2120-*)."	law.cornell.edu/uscode/text/49/46504
30	42 USC 902(a)(5)	1	CORRECT	—	nested parenthetical (a)(5) is real	"42 U.S.C. 902(a)(5): ""The Commissioner may prescribe such rules and regulations as the Commissioner determines necessary or appropriate..."" -- a real paragraph under subsection (a) of the SSA Commissioner section."	law.cornell.edu/uscode/text/42/902
31	16 USC 1854	1	CORRECT	—	plain bare section, Magnuson-Stevens statute	16 U.S.C. 1854 = fishery management plan review; RINs are NMFS (0648-*).	domain match + usc_section_verdict=exists
32	42 U.S.C. 300	1	MISREAD_LAUNDERED	LOUD	"bare ""42 U.S.C. 300"" is real (Title X family planning grants) but domain-mismatched to both of its own sibling CFR parts; the source text most plausibly lost a trailing letter (""f"", giving the SDWA's own opening section)"	"eCFR 40 CFR 141 authority note: ""42 U.S.C. 300f, 300g-1, 300g-2, 300g-3, 300g-4, 300g-5, 300g-6, 300j-4, 300j-9, and 300j-11"" -- no bare 300. eCFR 21 CFR 600 authority note: ""21 U.S.C. 321, 351, 352, 353, 355, 356c, 356e, 360, 360i, 371, 374, 379k-l; 42 U.S.C. 216, 262, 263, 263a, 264"" -- no 300 at all."	ecfr.gov API title-40 part-141 <AUTH>; title-21 part-600 <AUTH>
