### EVERY span the endpoint gate refused: 63 rows, 17 distinct
  rows=  11  [compound]  42 U.S.C. 20000bb to 20000bb-4   ends=(False,False)   '42 U.S.C. 20000bb to 20000bb-4'
  rows=   7  [compound]  43 U.S.C. 270-1 to 270-3   ends=(False,False)   '43 USC 270-1 to 270-3'
  rows=   5  [compound]  20 U.S.C. 2000c to 2000c-2   ends=(False,False)   '20 USC 2000c to 2000c-2'
  rows=   5  [compound]  16 U.S.C. 406k to 406k-4   ends=(False,False)   '16 U.S.C. 406k to 406k-4'
  rows=   4  [inferred]  16 U.S.C. 4601 to 4631   ends=(True,False)   '16 USC 4601-31'
  rows=   4  [inferred]  26 U.S.C. 1502 to 1513   ends=(True,False)   '26 USC 1502-13(c)(6)(ii)(C)(Revision)'
  rows=   4  [compound]  16 U.S.C. 406k to 406k-4   ends=(False,False)   '16 USC 406k to 406k-4'
  rows=   3  [compound]  42 U.S.C. 1701 to 1715z-18   ends=(True,False)   '42 USC 1701 to 1715z-18'
  rows=   3  [inferred]  42 U.S.C. 105 to 133   ends=(False,False)   '42 USC 105-33'
  rows=   3  [inferred]  16 U.S.C. 4602 to 4631   ends=(True,False)   '16 USC 4602-31'
  rows=   3  [inferred]  7 U.S.C. 77701 to 77772   ends=(False,False)   '7 USC 77701 to 7772'
  rows=   2  [compound]  20 U.S.C. 1070d to 1070d-2   ends=(False,True)   '20 USC 1070d to 1070d-2'
  rows=   2  [inferred]  8 U.S.C. 81611 to 81613   ends=(False,False)   '8 USC 81611-1613'
  rows=   2  [inferred]  42 U.S.C. 3007 to 3011   ends=(False,True)   '42 USC 3007-11'
  rows=   2  [inferred]  42 U.S.C. 3601 to 3620   ends=(True,False)   '42 USC 3601 to 20'
  rows=   2  [compound]  42 U.S.C. 299b-12 to 299b-26   ends=(False,True)   '42 USC 299b-12 to 299b-26'
  rows=   1  [inferred]  49 U.S.C. 440113 to 440114   ends=(False,False)   '49 USC 440113 to 40114'
