kind	rin	publication_id	ordinal	citation_ordinal	changes	authority_text
CHANGED	0412-AA45	200010	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200104	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200110	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200204	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200210	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200304	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0412-AA45	200310	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: None -> '2000d-7'; usc_section_span_rule: None -> 'stated'	42 USC 2000d to 2000d-7
CHANGED	0551-AA72	200904	0	3	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302, PL 103-66, 107 Stat 330
CHANGED	0551-AA72	200910	0	3	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302, PL 103-66, 107 Stat 330
CHANGED	0551-AA72	201004	0	1	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302
CHANGED	0551-AA72	201010	0	1	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302
CHANGED	0551-AA72	201104	0	1	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302
CHANGED	0551-AA72	201110	0	1	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302
CHANGED	0551-AA72	201210	0	1	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 USC 5623, 5662 to 5664 and sec 1302
CHANGED	0551-AB07	202410	0	2	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 U.S.C. 5602, 5622, 5661 to 5664, 5676
CHANGED	0551-AB07	202504	0	2	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 U.S.C. 5602, 5622, 5661 to 5664, 5676
CHANGED	0551-AB07	202510	0	2	usc_section_end: None -> '5664'; usc_section_span_rule: None -> 'stated'	7 U.S.C. 5602, 5622, 5661 to 5664, 5676
CHANGED	0560-AF09	199704	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: '1736g' -> '1736g-2'	7 USC 1731 to 1736g-2
CHANGED	0560-AF09	199710	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: '1736g' -> '1736g-2'	7 USC 1731 to 1736g-2
CHANGED	0560-AF09	199804	1	0	parse_status: 'partial' -> 'ok'; usc_section_end: '1736g' -> '1736g-2'	7 USC 1731 to 1736g-2
